class A,class B,mean,median,std
lm555cmx,lm555cmx,0.14442105263157892,0.15789473684210525,0.061434017483436035
lm555cmx,lmc555im,1.0,1.0,0.0
lm555cmx,lmc555imx,1.0,1.0,0.0
lm555cmx,msp430g2210id,1.0,1.0,0.0
lm555cmx,msp430g2210idr,1.0,1.0,0.0
lm555cmx,msp430g2230id,1.0,1.0,0.0
lm555cmx,msp430g2230idr,1.0,1.0,0.0
lmc555im,lm555cmx,1.0,1.0,0.0
lmc555im,lmc555im,0.15021052631578946,0.15789473684210525,0.0621115964656558
lmc555im,lmc555imx,0.43805263157894736,0.42105263157894735,0.09700031413262668
lmc555im,msp430g2210id,0.9856315789473684,1.0,0.02344741272368668
lmc555im,msp430g2210idr,0.9846315789473685,1.0,0.023930647719545943
lmc555im,msp430g2230id,1.0,1.0,0.0
lmc555im,msp430g2230idr,1.0,1.0,0.0
lmc555imx,lm555cmx,1.0,1.0,0.0
lmc555imx,lmc555im,0.4331578947368421,0.42105263157894735,0.09620355842555729
lmc555imx,lmc555imx,0.14552631578947367,0.15789473684210525,0.05860272842106715
lmc555imx,msp430g2210id,0.9996315789473684,1.0,0.0043880345993883635
lmc555imx,msp430g2210idr,0.9996315789473683,1.0,0.004388034599388365
lmc555imx,msp430g2230id,1.0,1.0,0.0
lmc555imx,msp430g2230idr,1.0,1.0,0.0
msp430g2210id,lm555cmx,1.0,1.0,0.0
msp430g2210id,lmc555im,0.9841578947368422,1.0,0.024141721452320703
msp430g2210id,lmc555imx,0.9996315789473683,1.0,0.004388034599388366
msp430g2210id,msp430g2210id,0.1495,0.15,0.05932748098478479
msp430g2210id,msp430g2210idr,0.5174,0.5,0.09519579822660242
msp430g2210id,msp430g2230id,1.0,1.0,0.0
msp430g2210id,msp430g2230idr,1.0,1.0,0.0
msp430g2210idr,lm555cmx,1.0,1.0,0.0
msp430g2210idr,lmc555im,0.9852105263157896,1.0,0.023657236101129808
msp430g2210idr,lmc555imx,0.9997894736842106,1.0,0.003322049229065161
msp430g2210idr,msp430g2210id,0.5098,0.5,0.09342890345069882
msp430g2210idr,msp430g2210idr,0.14905000000000002,0.15,0.06234258175597157
msp430g2210idr,msp430g2230id,1.0,1.0,0.0
msp430g2210idr,msp430g2230idr,1.0,1.0,0.0
msp430g2230id,lm555cmx,1.0,1.0,0.0
msp430g2230id,lmc555im,1.0,1.0,0.0
msp430g2230id,lmc555imx,1.0,1.0,0.0
msp430g2230id,msp430g2210id,1.0,1.0,0.0
msp430g2230id,msp430g2210idr,1.0,1.0,0.0
msp430g2230id,msp430g2230id,0.15234999999999999,0.15,0.06198368737014603
msp430g2230id,msp430g2230idr,0.49826315789473685,0.5263157894736842,0.10108704183870863
msp430g2230idr,lm555cmx,1.0,1.0,0.0
msp430g2230idr,lmc555im,1.0,1.0,0.0
msp430g2230idr,lmc555imx,1.0,1.0,0.0
msp430g2230idr,msp430g2210id,1.0,1.0,0.0
msp430g2230idr,msp430g2210idr,1.0,1.0,0.0
msp430g2230idr,msp430g2230id,0.5075263157894737,0.5263157894736842,0.09954955335614118
msp430g2230idr,msp430g2230idr,0.14605263157894738,0.15789473684210525,0.06299045788001162
